Description,Type
"

Unable to access www.stafforshire.gov.uk

Caller is trying to access tghe above website, and is getting ""unknown host.""

I can access it from my Northgate connection, but not a connection inside Staffs.

Unknown Host

Description: Unable to locate the server named ""www.staffordshire.gov.uk"" --- the server does not have a DNS entry. Perhaps there is a misspelling in the server name, or the server",Others
"

Hello Martin,

I?ve had a look on Google Street View to check out 2-12 Halls Road and they look like there were probably built during the 1960-70s. Would we have any records relating to the change of number. I assume it would have happened when the infill housing occurred.

Regards,

Phil
",Others
"Reported by Andrea Yates, please contact her/rents team directly.

Account 862220021256 is producing REF8 on the Arba for a nil balance (Notts Com property)
Also 
When Andrea printed an estate letter for account 463350011018 - 3 letters have come off for each of the tenants who have lived there, this was happening prior to the upgrade but usually only had 2 , she has kept copies of what it produced.

I have emailed Carole Hetherington who has advised to log a support call

(Logged by Nik",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Performance Issues - MSOffice 

Issue: Susan has called as she is experiencing performance issues within Excel/Word. When clicking on a hyper link within the spreadsheet, its taking a while to load, where as it usually loads up straight away. Also when Susan is trying to save the spreadsheet, it's coming up with a 'loading box' and takes a while to save. Then Excel becomes unresponsive. This is also happening in word as well. Susan advised her colleagues are receiving performance issues as wel",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Telephone: x3809

Based: Buxton Town Hall

Closing Call",Lockouts
"Files not saving

",Others
"Cllr Todd - Windows Update

Hi,

HPBC Cllr Jean Todd needs to have some windows updates installed on her tablet computer.  She will bring the tablet in to Buxton Town Hall Reception shortly.",Others
"Regarding macros

Hi Dianne

Will you give me a call regarding macros, I can not get this validate button to work. How do you enable the macros? ",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"

Please can I report an error further to last weeks upgrade.

While Andy Dubyl (currently on server 4) is going through the Arba run this morning it has twice given him and error message saying ?data in use by? when trying to access an account ? prior to the upgrade it would allow you to view only.  Now it is freezing for Andy and throwing him out OHMS.

Please can this be looked into ASAP.
",Others
"Wyse Box

Hi

I was just wondering if there was any progress being made on my computer in Buxton legal which hasn?t worked since the power outage the other day.

Thanks

Julie
X2154

________________________________

",Others
"expenses

hia

can you please let me know how to access the expenses system on the Intranet.

The link from the intranet does not work and the remote address I used to use will not work either.

will you please send me a link

Thanks

Madelaine
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Mobile phone for user ""Cristian Popeanu""

The mobile phone for the above user has stopped working. Phone no longer switches on. No physical damage

",Others
"VPN not working on PC

Hi, my six digit codes no longer appear to work for the VPN, had same problem on Monday, need this fixing as at a remote site not networked. Terry Redfern.

Sent from my Windows 10 phone


________________________________

",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Based: Working from home - Usually Buxton              Telephone: x4507

Closing Call",Lockouts
"Internet Performance Issues

Issue: Karen has called to advise that the internet is running very slow and she is unable to access opti time.

Effecting: Everyone in the office

Asset: HPBC3362

Telephone: x6505

Resolution: Passed onsite.
",Others
"Customers account was locked

Unlocked account and customer can now access fine
Password reset also",Lockouts
"OHMS Rents Arba

Hi

We have a problem with the Arba run on Rents which runs on a Wednesday.  It has run as normal overnight but has put Mondays date (29th Jan) as the Arba run date and on the date the letters are showing as being generated (should say 31st jan).

Please can you resolve?

Thanks

Rachel Newsam

Rachel Newsam
Income Team Leader
High Peak Borough Council
Tel: 0345 1298075  ext 3829


________________________________

",Others
"Remote Log In

Hi

I was wondering if anyone else is having a problem with logging in to the new remote system first time? For at least the last 6 log ins I have had to attempt it twice ? the first time it doesn?t work and I get an error message saying I?m not authorised, then I get a voicemail notification though the voicemail has nothing on it, then I try again and it works.

It?s very annoying having to do it twice and also having to clear my voicemail each time!


Regards
Liz

__",Others
"Tablet

Hi

I've just started up my tablet and its gone to a Blue Screen entitled Bit Locker  and it wants me to enter a recovery key?

Help please

Thanks

David

Sent from my Windows 10 phone


________________________________

",Others
"Unable to connect

Description of Issues: Oliver reports that he is unable to login to the RDS gateway

Actions taken to Resolve: At the time of the call, Oliver was then able to connect without issue",Others
"RE: display

Hi All

It will just need resetting following the power cut yesterday, Andrew will need to get the ladder out.

Thanks

Julie

From: Customer Service Seniors
Sent: 30 January 2018 10:53
To: ithelp
Cc: Gould, Lyn; Wood, Julie
Subject: FW: display

Please can you have a look at the screen in Buxton call centre its not working

Thanks Carolyn

From: Gould, Lyn
Sent: 30 January 2018 10:29
To: Customer Service Seniors
Subject: display

The display screen is not w",Others
"Expenses Login

Good afternoon

I am unable to access the expenses section or MyView within the intranet.  Could you please send me relevant log in and passwords?

Kind regards
Simon Clowes

________________________________

",Lockouts
"Link Issues. 

",Others
"Telephony Issue - Asking for a Pin

",Others
"Further to original job - Incident Call: 151113 that was closed (as the error did not happen when trying to show)
Please can I log another job as I am now having the same issue.
A few days ago I had to re-start to try and pick up the wifi connection, it then froze on the initial screen (coloured screen with date and time) so I could not press ctrl/alt/delete, this took approx. 5/10 mins to unfreeze and then allowed me to press ctrl/alt/delete which gave me a blank screen for 5/10 mins and took",Others
"Integra SLI for 29.1.18 not Processed

Hi, the overnight script from Paris into Integra SLI (Sales Ledger Cash) failed last night for HP only, I have looked at running it in myself but the file seem to be configured in the background after leaving Paris and before being processed into Integra.

Could you please put the cash file in place for me so that I can process the file, just to confirm It is HP only.

Many Thanks

Dawn
Dawn Brown
Finance Technician
Staffordshire Moorlands Distri",Others
"FW: display

Please can you have a look at the screen in Buxton call centre its not working

Thanks Carolyn

From: Gould, Lyn
Sent: 30 January 2018 10:29
To: Customer Service Seniors
Subject: display

The display screen is not working in buxton call centre, turned on, but its just blue


Customer Services

Tel: 0345 129 77 77
customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk%3cmailto:customer-services@highpeak.gov",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"Auto Response

Hello

Thanks for your e-mail.

This has been received by our benefits team and we?ll be in touch if we need any further information from you.

Any new claims are usually processed within 21 working days of receiving any evidence we?ve requested, and changes within 14 working days.

If you fail to provide any evidence in a timely manner, your claim may be delayed or suspended. Visit our website, http://www.highpeak.gov.uk/benefits for further information.

Kind Regards",Others
"New starter issues

Joanne called to advise that new starter John Hardman has no email access or login details. 
ICT policy has not been received from their side, I have advised once received this can be set up for the user, closing call. ",Others
"Unable to access STAL-RDS

Issue: Selina has called as she is unable to access the STAL-RDS server. I remoted onto Selina's machine and when clicking on the the STAL-RDS icon it comes up with 'The remote computer requires network level administration, which your computer does not support. For assistant, contact your system administrator or technical support.'

Asset: HPBC3171

Location: Biddulph

Telephone: x5944

Resolution: Passed to onsite.",Others
"Remote Desktop Issues

",Others
"Em""Error RDP require network layer authentication""

Unable to connect - Linked to 160489 - Closing 

Contact - 01538 395400
Asset - TML60?

",Others
"URGENT - DD Submission - 1st Feb 18

Hi

We are trying to submit the file for the Direct Debits to the bank, but the file location seems to have changed and we are unaware of where the new location is.
This needs to be sent to the bank today.

Thanks
Lisa

From: Green, Christine
Sent: 30 January 2018 09:05
To: Heathcote, Lisa
Subject: RE: DD Submission - 1st Feb 18

Hi Lisa
Has the location of the files changed? I cannot access where I would normally pick up the file from which i",Others
"Missing Data on Excel File 

File was saved on the desktop 
Unable to restore 
Em""There are no previous versions available"" 
Advised the desktop is not backed up and showed the G drive as a save location in future - Closing 


",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Alliance Remote Desktop

Em""remote computer requires network level authentication""
Does not show a login box of any sorts 
Start - Logout - retried and now gets EM""remote desktop disconnected"" 

Asset - HPCH5038
Contact - 2154
Location - Glossop

",Others
"Unable to use remote access

",Others
"Supporting People Posting

Hi

I am having problems posting the Supporting People payments onto OHMS.
This job should be carried out on a Monday in order for the process to run overnight and the transactions appear on the Tuesday.
I was unable to post it yesterday due to the system problems.
When I have tried this morning I am getting the following error message?

[cid:image003.jpg@01D399A0.E05859E0]

I need to get this posted today so it is posted to the accounts by tomorrow.

Than",Others
"Bin Day Checker / Interactive maps not working

Hi

The bin day checker and interactive maps still aren?t working on both High Peak and Staffs Moorlands websites.

Many thanks
Emma

Emma Thurlby
Website Development and Social Media Officer
High Peak Borough Council and
Staffordshire Moorlands District Council Alliance
T: 07738 506412
LinkedIn<https://www.linkedin.com/in/emma-thurlby-4b772331?trk=nav_responsive_tab_profile_pic>
E: emma.thurlby@highpeak.gov.uk<mailto:emma.thurlby@hi",Others
"Constant disconnections

",Others
"carelink , Ecclesfold

We are unable to get on the intranet or use any phones from our Office at Ecclesfold. Is there a problem you are aware of
Thanks Tina

Sent from my Windows 10 phone


________________________________

",Others
"Internet Down

Hi

The internet is down or doesn?t seem to be working in Buxton Town Hall.

Many Thanks
Emma

Emma Thurlby
Website Development and Social Media Officer
High Peak Borough Council and
Staffordshire Moorlands District Council Alliance
T: 07738 506412
LinkedIn<https://www.linkedin.com/in/emma-thurlby-4b772331?trk=nav_responsive_tab_profile_pic>
E: emma.thurlby@highpeak.gov.uk<mailto:emma.thurlby@highpeak.gov.uk>
Web: www.staffsmoorlands.gov.uk<http://www.staffsmoorlan",Others
"Lap Top - Working from home

Good morning

Ref Lap Top 2669

I could not log on over the weekend.   I have been informed that there was a problem in Buxton, but I have tried to long on again, and still can?t.

The reason given is :- Secure VPN connection terminated by Peer.  Reason 433.

Please can you look into this.

Thank you

June

June Hammond
Local Land Charges Officer
High Peak Borough Council
Tel 0345 129 77 77 ex 4460
Land-searches@highpeak.gov.uk


______________",Others
"Netcool event for High Peak DC: [HP-BX-R103-01]


Description: [29/1/2018 16:13:56] -  DVC Failed - Pings Complete: Timed out

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Alliance intranet

Good morning

There may be a fault with the Alliance Intranet?

Please see below screen shot
[cid:image001.png@01D398E6.6D408000]

Many thanks and kind regards

Michelle

Michelle Costello
Housing Strategy Technical Officer
Customer Services
Staffordshire Moorlands District Council and High Peak Borough Council
Email: michelle.costello@staffsmoorlands.gov.uk<mailto:michelle.costello@staffsmoorlands.gov.uk>
Tel: 01538 395400 ext 4100 Mobile: 07717 516321


",Others
"Blank Monitor

Hi

I have switched on HPBC 3418 and the monitor has a green light on but the screen is blank.

I have also logged on to HPBC 3156 and my emails have not updated

Thanks

Shirley


________________________________

",Others
